p0,p1,p2,p3,p4,p5,p6,p7,exe_time,density
8,100, ,#pragma omp parallel for,32,4,cores,balanced,0.192295,275.1564869073075
8,100, ,#pragma omp parallel for,32,8,cores,balanced,0.19235,271.53684554766033
8,64, ,#pragma omp parallel for,32,64,threads,balanced,0.19218000000000002,270.79269736893986
8,64, ,#pragma omp parallel for,32,64,threads,balanced,0.268605,270.79269736893986
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,256,64,cores,balanced,0.19273,270.79269736703117
8,64,#pragma clang loop unrolling full, ,32,128,sockets,balanced,0.19263,270.7926973351638
8,64,#pragma clang loop unrolling full, ,32,128,sockets,balanced,0.19236999999999999,270.7926973351638
8,64, ,#pragma omp parallel for,256,128,sockets,balanced,0.19240000000000002,270.7926973349733
8,40, ,#pragma omp parallel for,32,32,threads,balanced,0.19257000000000002,269.9523358350301
8,40, ,#pragma omp parallel for,256,96,sockets,balanced,0.193185,269.9523357219546
7,80,#pragma clang loop unrolling full,#pragma omp parallel for,32,4,cores,balanced,0.21923,269.37017610930275
8,80, ,#pragma omp parallel for,2,32,cores,balanced,0.19294,268.0257015812265
8,40, ,#pragma omp parallel for,32,32,sockets,balanced,0.192445,266.1295613243456
7,80,#pragma clang loop unrolling full,#pragma omp parallel for,128,2,sockets,balanced,0.306115,264.69994616723534
8,80, ,#pragma omp parallel for,32,96,sockets,balanced,0.193405,261.3092387769739
8,200, ,#pragma omp parallel for,16,32,sockets,balanced,0.26852,259.79296163075315
8,200, ,#pragma omp parallel for,16,32,sockets,balanced,0.19213999999999998,259.79296163075315
8,200, ,#pragma omp parallel for,32,16,sockets,balanced,0.192475,259.7929613328041
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,128,4,sockets,balanced,0.1923,256.9295324301207
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,128,2,sockets,balanced,0.1925,255.76813917101117
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,128,8,sockets,balanced,0.19226500000000002,255.74563747728035
8,64, ,#pragma omp parallel for,8,8,threads,balanced,0.1923,251.54745692001111
8,64, ,#pragma omp parallel for,16,128,sockets,balanced,0.19262,251.414220308759
8,64, ,#pragma omp parallel for,16,2,threads,balanced,0.192385,250.96860655979066
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,8,32,cores,balanced,0.19290000000000002,241.2056666271531
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,128,16,sockets,balanced,0.19215,239.90140036132584
8,80,#pragma clang loop unrolling full, ,4,96,sockets,balanced,0.192335,238.90796793473328
8,80, ,#pragma omp parallel for,96,4,cores,balanced,0.19256,235.96769016979522
8,64, ,#pragma omp parallel for,16,64,threads,balanced,0.19222,233.66997562437422
8,80, ,#pragma omp parallel for,96,8,cores,balanced,0.192415,233.57398931859478
7,128, ,#pragma omp parallel for,64,8,cores,balanced,0.21920499999999998,233.3177005874633
8,40, ,#pragma omp parallel for,16,32,threads,balanced,0.19252999999999998,232.94481847127645
8,80, ,#pragma omp parallel for,16,8,threads,balanced,0.19223,232.39364789791074
8,128, ,#pragma omp parallel for,96,32,cores,balanced,0.191885,223.91573215183746
8,80, ,#pragma omp parallel for,32,2,threads,balanced,0.19215,223.4679333815909
8,80, ,#pragma omp parallel for,32,2,threads,balanced,0.26836,223.4679333815909
8,80,#pragma clang loop unrolling full, ,2,96,sockets,balanced,0.19219,223.46793315002262
8,64, ,#pragma omp parallel for,8,4,threads,balanced,0.192355,223.14762949163884
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,2,sockets,balanced,0.26856,219.185604697388
8,40, ,#pragma omp parallel for,16,2,sockets,balanced,0.192925,216.7382676849757
8,40, ,#pragma omp parallel for,8,4,sockets,balanced,0.19256,214.6244557687321
7,160, ,#pragma omp parallel for,64,16,cores,balanced,0.219135,214.31525432516466
7,160, ,#pragma omp parallel for,64,16,cores,balanced,0.21905,214.31525432516466
7,160, ,#pragma omp parallel for,64,16,cores,balanced,0.22182000000000002,214.31525432516466
