p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,80,4,80,100,0.000124,1503.5750877857208
#pragma clang loop(j2) pack array(data) allocate(malloc), ,80,80,4,80,100,0.000125,1514.04998254776
#pragma clang loop(j2) pack array(data) allocate(malloc), ,96,80,4,80,100,0.0001345,1524.7954370975494
#pragma clang loop(j2) pack array(data) allocate(malloc), ,100,100,4,80,100,0.000122,1535.3843326568604
#pragma clang loop(j2) pack array(data) allocate(malloc), ,50,64,4,80,100,0.00012,1547.963074684143
#pragma clang loop(j2) pack array(data) allocate(malloc), ,4,50,4,80,100,0.0001275,1559.1161110401154
#pragma clang loop(j2) pack array(data) allocate(malloc), ,8,80,4,80,100,0.000106,1570.067247390747
#pragma clang loop(j2) pack array(data) allocate(malloc), ,16,64,4,80,100,0.000117,1582.303272485733
#pragma clang loop(j2) pack array(data) allocate(malloc), ,20,64,4,80,100,0.000128,1593.2468676567078
#pragma clang loop(j2) pack array(data) allocate(malloc), ,4,64,4,80,100,0.000121,1604.2092187404633
#pragma clang loop(j2) pack array(data) allocate(malloc), ,64,4,8,80,100,0.0006104999999999,1613.942297458649
#pragma clang loop(j2) pack array(data) allocate(malloc), ,16,80,4,80,100,0.0001055,1624.3876395225525
#pragma clang loop(j2) pack array(data) allocate(malloc), ,100,4,8,80,100,0.000603,1633.7217292785645
#pragma clang loop(j2) pack array(data) allocate(malloc), ,16,100,4,80,100,0.0001065,1646.5712823867798
#pragma clang loop(j2) pack array(data) allocate(malloc), ,8,100,4,80,100,0.0001075,1658.7995779514313
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,4,80,100,0.000154,1669.1028292179108
#pragma clang loop(j2) pack array(data) allocate(malloc), ,50,100,4,80,100,0.0001075,1681.3870961666107
#pragma clang loop(j2) pack array(data) allocate(malloc), ,32,80,4,80,100,0.0001075,1692.3826332092283
#pragma clang loop(j2) pack array(data) allocate(malloc), ,96,64,4,80,100,0.00012,1704.4717855453491
#pragma clang loop(j2) pack array(data) allocate(malloc), ,20,100,4,80,100,0.000105,1716.5035197734833
#pragma clang loop(j2) pack array(data) allocate(malloc), ,50,80,4,80,100,0.000107,1727.259117603302
#pragma clang loop(j2) pack array(data) allocate(malloc), ,4,100,4,80,100,0.000108,1737.8265264034271
#pragma clang loop(j2) pack array(data) allocate(malloc), ,80,64,4,80,100,0.000122,1748.2393383979795
#pragma clang loop(j2) pack array(data) allocate(malloc), ,96,100,4,80,100,0.000122,1758.4975028038025
